,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
82,82,0.5208333333333334,2023-04-04 03:26:17.750393,2023-04-04 03:26:22.205872,0 days 00:00:04.455479,0.15310806100989394,78,100.50140206768123,247,12,8.402771853302237,0.7635530935685259,COMPLETE
83,83,0.6197916666666666,2023-04-04 03:26:22.206220,2023-04-04 03:26:28.291580,0 days 00:00:06.085360,0.11706282465360768,135,132.6814701542545,253,19,8.827197375248328,0.5046221020923087,COMPLETE
84,84,0.4895833333333333,2023-04-04 03:26:28.291943,2023-04-04 03:26:41.585126,0 days 00:00:13.293183,0.05251805078101181,65,211.00289014135865,243,14,9.447489441171422,0.9579711169223253,COMPLETE
85,85,0.6770833333333334,2023-04-04 03:26:41.585481,2023-04-04 03:26:45.280646,0 days 00:00:03.695165,0.17484937830138203,100,160.0749580913059,230,10,8.617080468562945,1.9315165363367663,COMPLETE
86,86,0.5677083333333334,2023-04-04 03:26:45.280986,2023-04-04 03:27:01.596426,0 days 00:00:16.315440,0.04088171931560024,144,263.5443665385535,235,16,7.903685372137579,1.6800921266150932,COMPLETE
87,87,0.6614583333333334,2023-04-04 03:27:01.596793,2023-04-04 03:27:04.050810,0 days 00:00:02.454017,0.2423472504194712,120,224.14522875849042,210,11,9.09484352166427,1.3869256554308103,COMPLETE
88,88,0.6354166666666666,2023-04-04 03:27:04.051151,2023-04-04 03:27:12.278732,0 days 00:00:08.227581,0.08268239036866665,88,183.86935226996854,241,15,9.950600787627462,1.0948723778710376,COMPLETE
89,89,0.46875,2023-04-04 03:27:12.279067,2023-04-04 03:27:18.306399,0 days 00:00:06.027332,0.1221503339617254,56,238.74141781462592,261,13,8.206580650457278,1.4082432179873732,COMPLETE
90,90,0.6458333333333334,2023-04-04 03:27:18.306786,2023-04-04 03:27:21.931744,0 days 00:00:03.624958,0.19062428067384196,113,81.63513899305238,246,12,8.905111128741101,1.8021712124248823,COMPLETE
91,91,0.671875,2023-04-04 03:27:21.932089,2023-04-04 03:27:27.315042,0 days 00:00:05.382953,0.13062011879747523,99,179.92514651264435,251,11,8.379171703412046,1.1913872412242725,COMPLETE
92,92,0.6927083333333334,2023-04-04 03:27:27.315385,2023-04-04 03:27:31.911186,0 days 00:00:04.595801,0.1513779062042721,104,124.45142413881646,248,10,8.392007606811898,0.7690939989508452,COMPLETE
93,93,0.6979166666666666,2023-04-04 03:27:31.911538,2023-04-04 03:28:01.634327,0 days 00:00:29.722789,0.03362485955388872,106,135.07634946744315,256,10,9.311038689892396,0.9461554537934966,COMPLETE
94,94,0.6458333333333334,2023-04-04 03:28:01.634730,2023-04-04 03:28:32.556111,0 days 00:00:30.921381,0.03051752617547493,123,125.99210099794755,257,10,9.595401683492165,0.7858262978265554,COMPLETE
95,95,0.640625,2023-04-04 03:28:32.556458,2023-04-04 03:28:44.332391,0 days 00:00:11.775933,0.05671878891422789,105,51.478912953372785,232,12,9.252370402585854,0.9152899268108192,COMPLETE
96,96,0.640625,2023-04-04 03:28:44.332751,2023-04-04 03:28:52.664856,0 days 00:00:08.332105,0.08313561198056808,95,96.2535948477484,242,10,8.570992538728255,0.6097478550781241,COMPLETE
97,97,0.6302083333333334,2023-04-04 03:28:52.665208,2023-04-04 03:29:18.230750,0 days 00:00:25.565542,0.033180031015594566,132,156.9208884612422,237,15,9.353692603648131,1.5703932782359624,COMPLETE
98,98,0.5885416666666666,2023-04-04 03:29:18.231095,2023-04-04 03:29:22.684177,0 days 00:00:04.453082,0.15915606339254734,79,129.1739991918168,254,11,8.951787578251631,1.0643789988295018,COMPLETE
99,99,0.6145833333333334,2023-04-04 03:29:22.684522,2023-04-04 03:29:32.343373,0 days 00:00:09.658851,0.06649707830861468,91,77.24089846290278,226,14,8.717215474455458,2.1263094627545955,COMPLETE
100,100,0.21875,2023-04-04 03:29:32.343717,2023-04-04 03:29:39.566518,0 days 00:00:07.222801,0.09952205905110562,12,195.9276555779115,250,10,9.57531934829157,0.8706756050198419,COMPLETE
101,101,0.6927083333333334,2023-04-04 03:29:39.566875,2023-04-04 03:29:45.946464,0 days 00:00:06.379589,0.10977779118923782,108,165.69054274752435,247,12,8.164884607911878,1.2964876876875466,COMPLETE
102,102,0.6614583333333334,2023-04-04 03:29:45.946820,2023-04-04 03:29:52.359094,0 days 00:00:06.412274,0.10807427927761246,118,145.87678668332205,245,12,7.968583307213451,1.8681183952015603,COMPLETE
103,103,0.671875,2023-04-04 03:29:52.359441,2023-04-04 03:30:02.665036,0 days 00:00:10.305595,0.07073973202504805,112,209.52912092021145,255,12,9.05385532308683,0.7886909884094974,COMPLETE
104,104,0.6822916666666666,2023-04-04 03:30:02.665386,2023-04-04 03:30:27.172684,0 days 00:00:24.507298,0.031764713796995726,105,93.99803365393419,259,11,7.4753122715774225,2.4031067430112407,COMPLETE
105,105,0.6927083333333334,2023-04-04 03:30:27.173031,2023-04-04 03:30:47.558623,0 days 00:00:20.385592,0.03452516843952346,104,111.1453458994074,239,11,7.766638170932552,2.3852426782046776,COMPLETE
106,106,0.609375,2023-04-04 03:30:47.559001,2023-04-04 03:30:52.234005,0 days 00:00:04.675004,0.1445412726452161,87,117.99689272423713,240,10,8.468400967175253,1.6373625282729003,COMPLETE
107,107,0.2864583333333333,2023-04-04 03:30:52.234353,2023-04-04 03:30:58.374836,0 days 00:00:06.140483,0.10392051729223711,70,40.01553915759166,232,18,8.140254084100768,1.4055536907168096,COMPLETE
108,108,0.6458333333333334,2023-04-04 03:30:58.375180,2023-04-04 03:31:11.823255,0 days 00:00:13.448075,0.0504791863465879,124,151.5626632935262,238,13,7.830957678720569,1.0253918741502686,COMPLETE
109,109,0.671875,2023-04-04 03:31:11.823609,2023-04-04 03:31:17.504238,0 days 00:00:05.680629,0.12338611282415951,95,116.4464116086325,247,14,9.166612881912991,1.9011187207998428,COMPLETE
110,110,0.5885416666666666,2023-04-04 03:31:17.504599,2023-04-04 03:31:21.476426,0 days 00:00:03.971827,0.16377815151195896,80,248.2686956790187,236,15,8.891354825972343,2.1931839476112405,COMPLETE
111,111,0.671875,2023-04-04 03:31:21.476777,2023-04-04 03:31:52.688818,0 days 00:00:31.212041,0.030033044754151316,97,65.56534182499533,259,11,7.502717790476647,2.5043612453880995,COMPLETE
112,112,0.671875,2023-04-04 03:31:52.689200,2023-04-04 03:32:01.683486,0 days 00:00:08.994286,0.07951108159968524,104,89.03178767651474,251,11,7.356804413502968,2.447343196859661,COMPLETE
113,113,0.6822916666666666,2023-04-04 03:32:01.683842,2023-04-04 03:32:24.773643,0 days 00:00:23.089801,0.034112246993109864,104,104.75335193594437,265,10,7.790526723009381,2.318556312647978,COMPLETE
114,114,0.6614583333333334,2023-04-04 03:32:24.774001,2023-04-04 03:32:37.728498,0 days 00:00:12.954497,0.05369751887170217,116,141.88718240647876,244,13,8.133537383514415,2.7449870188793506,COMPLETE
115,115,0.6927083333333334,2023-04-04 03:32:37.728855,2023-04-04 03:32:45.722503,0 days 00:00:07.993648,0.08968287763899033,108,160.21824446574573,253,11,7.615759219354336,1.190929418756137,COMPLETE
116,116,0.6354166666666666,2023-04-04 03:32:45.722891,2023-04-04 03:32:53.550177,0 days 00:00:07.827286,0.09008157858077488,127,170.3914422000181,248,12,8.495014005375147,0.6512666319507943,COMPLETE
117,117,0.6041666666666666,2023-04-04 03:32:53.550551,2023-04-04 03:32:56.477603,0 days 00:00:02.927052,0.22408095562156816,88,203.66959895864238,241,10,7.061020607382911,1.1822770918728556,COMPLETE
118,118,0.6822916666666666,2023-04-04 03:32:56.477952,2023-04-04 03:33:01.773217,0 days 00:00:05.295265,0.13875297807047351,111,227.54383152288497,253,13,9.815419657555083,0.5310382991801551,COMPLETE
119,119,0.6458333333333334,2023-04-04 03:33:01.773584,2023-04-04 03:33:07.830403,0 days 00:00:06.056819,0.11486874555034274,99,162.55404399110077,245,12,8.06144806800335,1.261274629854852,COMPLETE
120,120,0.6145833333333334,2023-04-04 03:33:07.830799,2023-04-04 03:33:18.312518,0 days 00:00:10.481719,0.06299239487447206,82,191.990378614657,234,14,7.644876120201327,1.577285360374213,COMPLETE
121,121,0.6822916666666666,2023-04-04 03:33:18.312886,2023-04-04 03:33:50.644612,0 days 00:00:32.331726,0.028564452638035066,105,92.32366089607538,258,11,7.483760361529088,1.0147592528186737,COMPLETE
122,122,0.6458333333333334,2023-04-04 03:33:50.645166,2023-04-04 03:33:59.145040,0 days 00:00:08.499874,0.08572815433340666,120,110.49036988265543,255,11,8.379841965455407,1.9986366202491364,COMPLETE
123,123,0.6927083333333334,2023-04-04 03:33:59.145401,2023-04-04 03:35:47.515227,0 days 00:01:48.369826,0.01001757544085817,107,124.57669104574563,262,10,8.636327753251194,2.8583571278959456,COMPLETE
124,124,0.005208333333333333,2023-04-04 03:35:47.515596,2023-04-04 03:36:00.269793,0 days 00:00:12.754197,0.05954959015669,279,129.93564325082224,262,10,8.656408476930041,1.36318745804244,COMPLETE
125,125,0.6510416666666666,2023-04-04 03:36:00.270159,2023-04-04 03:36:07.106642,0 days 00:00:06.836483,0.10642618987571945,92,141.7341997198198,251,13,9.301828151424706,1.7742911451380114,COMPLETE
126,126,0.6822916666666666,2023-04-04 03:36:07.107028,2023-04-04 03:37:02.483876,0 days 00:00:55.376848,0.0158220532865095,110,165.6628986609556,228,12,8.82697286915106,2.800549825455189,COMPLETE
127,127,0.6666666666666666,2023-04-04 03:37:02.484246,2023-04-04 03:37:07.778056,0 days 00:00:05.293810,0.1298631419452607,116,189.39371646060184,238,10,8.29152570833538,0.8473970630231773,COMPLETE
128,128,0.5729166666666666,2023-04-04 03:37:07.778607,2023-04-04 03:37:17.265664,0 days 00:00:09.487057,0.07190562796541103,135,59.742123517450494,242,16,9.40898462549202,2.922761188121113,COMPLETE
129,129,0.3489583333333333,2023-04-04 03:37:17.266025,2023-04-04 03:37:21.840853,0 days 00:00:04.574828,0.1503033157989601,98,26.67911781372065,248,11,7.984616513590024,2.115153378834842,COMPLETE
130,130,0.6510416666666666,2023-04-04 03:37:21.841207,2023-04-04 03:37:37.153456,0 days 00:00:15.312249,0.048162987284388586,87,274.73559574232615,256,12,8.59830441253421,1.4848981403114776,COMPLETE
131,131,0.6875,2023-04-04 03:37:37.153799,2023-04-04 03:37:45.372593,0 days 00:00:08.218794,0.0892573466464783,105,95.79216180747142,259,11,7.688364326466828,2.3818912482804224,COMPLETE
132,132,0.6666666666666666,2023-04-04 03:37:45.372949,2023-04-04 03:37:53.782181,0 days 00:00:08.409232,0.09070831033066946,102,70.93280295514889,263,10,7.765197518585718,3.211026625626884,COMPLETE
133,133,0.671875,2023-04-04 03:37:53.782588,2023-04-04 03:39:14.891790,0 days 00:01:21.109202,0.012195035499246741,110,133.69174044539648,251,11,8.267021361784439,2.55651911535046,COMPLETE
134,134,0.65625,2023-04-04 03:39:14.892147,2023-04-04 03:39:19.076368,0 days 00:00:04.184221,0.1625813936709942,92,154.28352999127313,245,13,9.122190741565376,2.239207257162811,COMPLETE
135,135,0.65625,2023-04-04 03:39:19.076748,2023-04-04 03:39:26.181336,0 days 00:00:07.104588,0.10696978928117191,123,114.85785620791077,267,12,8.842828013749159,1.0820818545159514,COMPLETE
136,136,0.671875,2023-04-04 03:39:26.181687,2023-04-04 03:39:34.718680,0 days 00:00:08.536993,0.0714693893310182,97,177.916107912459,219,14,6.9391150154280865,1.734799526283521,COMPLETE
137,137,0.6822916666666666,2023-04-04 03:39:34.719049,2023-04-04 03:39:53.016806,0 days 00:00:18.297757,0.0405836022075504,107,227.72177857658824,253,10,8.490482601801466,0.721077034936675,COMPLETE
138,138,0.6510416666666666,2023-04-04 03:39:53.017158,2023-04-04 03:39:56.987793,0 days 00:00:03.970635,0.18525814434683946,117,84.23316494912267,260,11,9.622011991798527,2.938055617197231,COMPLETE
139,139,0.34375,2023-04-04 03:39:56.988156,2023-04-04 03:40:02.353524,0 days 00:00:05.365368,0.12453768348708236,179,128.91863478006002,239,12,7.896730253175903,1.2702382559563086,COMPLETE
140,140,0.546875,2023-04-04 03:40:02.353895,2023-04-04 03:40:09.195218,0 days 00:00:06.841323,0.09230177303712472,129,47.809142261687384,224,13,7.329749889067592,2.012505793821297,COMPLETE
141,141,0.6875,2023-04-04 03:40:09.195567,2023-04-04 03:40:45.563245,0 days 00:00:36.367678,0.02688479435560695,104,103.69958673002029,258,11,7.599142409477051,3.163951812521701,COMPLETE
142,142,0.6770833333333334,2023-04-04 03:40:45.563619,2023-04-04 03:40:59.393922,0 days 00:00:13.830303,0.05659447114348487,113,107.37376654738712,272,11,8.064918109113387,3.2493297515170734,COMPLETE
143,143,0.6875,2023-04-04 03:40:59.394290,2023-04-04 03:41:20.139717,0 days 00:00:20.745427,0.03591382010445776,99,139.72758194443628,253,10,7.6173183485145,2.6288433670633498,COMPLETE
