,number,value,datetime_start,datetime_complete,duration,params_bpm_step,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
38,38,0.46334185848252346,2023-04-05 22:22:27.888817,2023-04-05 22:22:50.549036,0 days 00:00:22.660219,0.06002458363390508,242,31,104,1.5377211648257636,6.783845241194116,5.667711630909291,COMPLETE
39,39,0.2878658709860756,2023-04-05 22:22:50.549362,2023-04-05 22:22:57.770375,0 days 00:00:07.221013,0.19315170921877212,265,36,171,0.3638757965644115,7.062776230518424,4.917217033250444,COMPLETE
40,40,0.16567206592782044,2023-04-05 22:22:57.770709,2023-04-05 22:23:18.336426,0 days 00:00:20.565717,0.07230267213664796,259,29,138,0.027042590453802307,9.453827315232182,5.395710567172927,COMPLETE
41,41,0.6241830065359477,2023-04-05 22:23:18.336753,2023-04-05 22:23:40.399818,0 days 00:00:22.063065,0.06156007402704874,237,25,101,0.42910647215881115,7.185678790118562,4.238940698268424,COMPLETE
42,42,0.5949843705598181,2023-04-05 22:23:40.400137,2023-04-05 22:23:48.942966,0 days 00:00:08.542829,0.15389904001339638,238,25,101,0.3633005115586527,7.219118933319067,4.089332643506512,COMPLETE
43,43,0.3901676612674055,2023-04-05 22:23:48.943298,2023-04-05 22:24:17.893288,0 days 00:00:28.949990,0.04749855899939586,245,34,241,1.44467465151479,8.169313751425358,5.868442337510599,COMPLETE
44,44,0.5413469735720374,2023-04-05 22:24:17.893619,2023-04-05 22:24:26.570213,0 days 00:00:08.676594,0.14349859611336901,234,30,134,0.3393402345106613,6.518862848429731,4.281482970648882,COMPLETE
45,45,0.5316140949133277,2023-04-05 22:24:26.570556,2023-04-05 22:24:54.814427,0 days 00:00:28.243871,0.04203153419738401,223,42,96,0.8150649974085393,7.152613384778352,6.088338061814845,COMPLETE
46,46,0.39982949701619774,2023-04-05 22:24:54.814971,2023-04-05 22:25:00.646751,0 days 00:00:05.831780,0.2347446340225785,257,34,147,1.2829117699508685,7.963853672996157,5.14279820303764,COMPLETE
47,47,0.434285308326229,2023-04-05 22:25:00.647093,2023-04-05 22:25:07.457348,0 days 00:00:06.810255,0.18297986036894634,226,24,166,1.6975235871449863,6.754864518814045,4.617382399817117,COMPLETE
