,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_max_bpm,params_min_bpm,params_parncutt_prior_mu,params_parncutt_prior_sigma,params_smooth_bpm_window,params_smooth_time_window,state
101,101,0.6243250923557828,2023-04-07 18:40:04.235847,2023-04-07 18:40:11.700516,0 days 00:00:07.464669,0.26354394784342106,0.08593188510405772,0.18143495651132727,0.5852914675614214,277,49,89,1.3050294600842878,5.226836691261255,2.4878093888820745,COMPLETE
102,102,0.5999573742540495,2023-04-07 18:40:11.700901,2023-04-07 18:40:21.357139,0 days 00:00:09.656238,0.32874046234902493,0.054571423107944605,0.14293885585429297,0.569703883013682,278,49,86,1.2857534374635509,5.162753128900914,2.9862073034113097,COMPLETE
103,103,0.619281045751634,2023-04-07 18:40:21.357510,2023-04-07 18:40:27.354999,0 days 00:00:05.997489,0.2562278587939104,0.019217171338802956,0.21412880465480516,0.6735242729039863,276,50,115,1.7904952119721058,4.582816360079655,2.215160387271181,COMPLETE
104,104,0.5169792554703041,2023-04-07 18:40:27.355384,2023-04-07 18:40:34.530122,0 days 00:00:07.174738,0.18116215298820873,0.08185978349988662,0.18471274745736369,0.6434875200088478,273,47,76,1.3235941224255607,4.902931423436901,2.3696069122024577,COMPLETE
105,105,0.62411196362603,2023-04-07 18:40:34.530518,2023-04-07 18:40:39.592499,0 days 00:00:05.061981,0.3676931763948615,0.13389842265991916,0.265801575521598,0.5310183856578873,282,48,103,1.553517157642283,5.2933495997653255,3.1012759579477276,COMPLETE
106,106,0.6094771241830065,2023-04-07 18:40:39.592898,2023-04-07 18:40:44.674405,0 days 00:00:05.081507,0.41734464449365594,0.13360764244516282,0.2685329499973678,0.5768651062613469,284,48,121,1.5399279229922551,5.310052915210874,3.05291695097377,COMPLETE
107,107,0.6388888888888888,2023-04-07 18:40:44.674791,2023-04-07 18:40:50.308357,0 days 00:00:05.633566,0.35347253272647616,0.11416276255307106,0.240747880491073,0.5166098631185054,281,44,107,0.27497995230170286,4.7530505531739085,3.593002844851484,COMPLETE
108,108,0.6338448422847399,2023-04-07 18:40:50.308740,2023-04-07 18:40:56.307941,0 days 00:00:05.999201,0.3546468486991029,0.17051851640863344,0.25023472285342563,0.5251539760970726,281,23,108,0.3176788532899817,6.00797573003326,3.5932442344782536,COMPLETE
109,109,0.4828076157999432,2023-04-07 18:40:56.308487,2023-04-07 18:41:02.353856,0 days 00:00:06.045369,0.3917169966214339,0.15696262066961145,0.2532604048113697,0.5017496242230574,284,23,86,0.2824434393529629,5.95188156222188,3.7056797547692266,COMPLETE
110,110,0.6337737993748224,2023-04-07 18:41:02.354247,2023-04-07 18:41:07.408713,0 days 00:00:05.054466,0.3589754516173838,0.11644868173191292,0.29703972301978343,0.5200996280096805,277,15,107,0.2836228360086472,5.622013110267637,3.410457880620129,COMPLETE
111,111,0.6192810457516339,2023-04-07 18:41:07.409088,2023-04-07 18:41:12.808094,0 days 00:00:05.399006,0.34972436374940963,0.11500594185560949,0.2862422795135711,0.5192289540017633,279,12,109,0.24028972709875165,6.140664605268821,3.3686474123149432,COMPLETE
