,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_bpm_step,params_gamma,params_gaussian_prior_mu,params_gaussian_prior_sigma,params_max_bpm,params_min_bpm,params_smooth_bpm_window,params_smooth_time_window,state
92,92,0.6339158851946576,2023-04-07 18:09:33.117772,2023-04-07 18:09:43.881956,0 days 00:00:10.764184,0.07529225701475585,0.8383555281417777,0.15272977691201833,0.3622386106344668,122,119.05338877355501,294,30,9.454438516378897,0.7740828544289874,COMPLETE
93,93,0.05861040068201193,2023-04-07 18:09:43.882342,2023-04-07 18:09:51.775677,0 days 00:00:07.893335,0.04942946327988462,0.8783369237976008,0.20841663831263588,0.42104363093675257,214,85.31388933916853,288,29,9.573187425702535,1.3992530734594926,COMPLETE
94,94,0.6485507246376812,2023-04-07 18:09:51.776074,2023-04-07 18:10:00.301684,0 days 00:00:08.525610,0.016308934501086975,0.967548997126126,0.1806357004162909,0.46897412958078666,114,146.41733941273904,276,32,9.003308155880307,1.0531261180010785,COMPLETE
95,95,0.5998152884342143,2023-04-07 18:10:00.302067,2023-04-07 18:10:14.517407,0 days 00:00:14.215340,0.1248152376017991,0.7963070438195204,0.11893804533748017,0.45096121231432007,133,55.65972373187021,293,30,9.266799622998205,0.5392993880769068,COMPLETE
96,96,0.648408638817846,2023-04-07 18:10:14.517792,2023-04-07 18:10:20.823959,0 days 00:00:06.306167,0.17141866379612153,0.9391472076263463,0.2508884712417291,0.5824431701417487,101,106.45569448888952,280,26,9.653208438753854,1.9127981120717705,COMPLETE
97,97,0.5510798522307474,2023-04-07 18:10:20.824331,2023-04-07 18:10:27.714735,0 days 00:00:06.890404,0.11954491963014091,0.8981756865936202,0.23393087810501173,0.540592275549325,119,32.32999738735626,284,25,8.227298257478322,0.7787106431885726,COMPLETE
98,98,0.6436487638533674,2023-04-07 18:10:27.715116,2023-04-07 18:10:37.541949,0 days 00:00:09.826833,0.057590983843660785,0.8675765438922253,0.15135478551975623,0.33515013794836723,96,175.2359437843428,269,31,8.882869971386395,1.345794977572184,COMPLETE
99,99,0.6486217675475987,2023-04-07 18:10:37.542333,2023-04-07 18:10:47.160059,0 days 00:00:09.617726,0.19579961741419316,0.9160309627399059,0.1701427938227959,0.6143661923731335,91,84.8195402059597,290,28,9.982386108605054,1.5727700219776755,COMPLETE
100,100,0.09761295822676896,2023-04-07 18:10:47.160457,2023-04-07 18:10:54.255104,0 days 00:00:07.094647,0.10185647320114392,0.9791924497798081,0.21288031140338032,0.3996539245980507,86,3.5423813722549937,276,35,8.510892613306487,0.9574138977968412,COMPLETE
101,101,0.672847399829497,2023-04-07 18:10:54.255495,2023-04-07 18:11:07.155103,0 days 00:00:12.899608,0.13136378528095852,0.9042362135589757,0.13303148313019592,0.5467126216811282,105,134.0816834818492,300,34,9.762555198759728,1.1706850937889668,COMPLETE
