,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_c1,params_c2,params_gamma,params_max_bpm,params_min_bpm,params_time_window,params_w,state
93,93,0.029198635976129584,2023-04-11 15:08:58.745682,2023-04-11 15:10:40.809583,0 days 00:01:42.063901,0.014631628560954471,0.8667657237565205,0.75374232576812,0.4806013408625476,0.6440270960000579,211,45,5,0.5612153341068878,COMPLETE
94,94,0.043975561238988346,2023-04-11 15:10:40.810110,2023-04-11 15:12:23.264336,0 days 00:01:42.454226,0.0016591255047540177,0.8204446475233914,0.6902783653553941,0.436991849010398,0.7831740523169204,253,44,5,0.6484568358257079,COMPLETE
95,95,0.09754191531685137,2023-04-11 15:12:23.264752,2023-04-11 15:14:05.521248,0 days 00:01:42.256496,0.036361280830097556,0.7899873817325512,0.8380068563279284,0.391832035484157,0.7127990048880977,203,46,4,0.46439250473268434,COMPLETE
96,96,0.06344131855640807,2023-04-11 15:14:05.521607,2023-04-11 15:15:48.442290,0 days 00:01:42.920683,0.02805467586876468,0.7523604029781005,0.8316742956804061,0.3976596023105899,0.7146098147140146,202,47,3,0.4656825193301324,COMPLETE
97,97,0.04887752202330208,2023-04-11 15:15:48.442866,2023-04-11 15:17:30.878032,0 days 00:01:42.435166,0.0714464350424792,0.7859874691719885,0.7805737653143395,0.4673023498378518,0.7613326938220148,218,49,4,0.4838412769105181,COMPLETE
98,98,0.04390451832907077,2023-04-11 15:17:30.878390,2023-04-11 15:19:13.930023,0 days 00:01:43.051633,0.0539825840559275,0.8501790677394805,0.8039625092658217,0.3614299420450521,0.6639592356718377,224,46,4,0.41916809708184666,COMPLETE
99,99,0.06820119352088662,2023-04-11 15:19:13.930393,2023-04-11 15:20:55.804511,0 days 00:01:41.874118,0.04358335943338581,0.8080826940944242,0.7347192597643243,0.41653734774986345,0.8167402198167857,198,45,6,0.6210438226574652,COMPLETE
100,100,0.04397556123898835,2023-04-11 15:20:55.805022,2023-04-11 15:22:38.853344,0 days 00:01:43.048322,0.0808951784315819,0.8831262565014545,0.8441637985065344,0.4934885160340142,0.7136384817397615,270,43,3,0.5035324112169304,COMPLETE
101,101,0.029269678886047173,2023-04-11 15:22:38.853724,2023-04-11 15:24:20.932097,0 days 00:01:42.078373,0.000979292784262037,0.8448903254047833,0.8714740806521795,0.3922715437502575,0.8690675220924614,291,40,5,0.5468308045761618,COMPLETE
102,102,0.0632992327365729,2023-04-11 15:24:20.932466,2023-04-11 15:26:03.471891,0 days 00:01:42.539425,0.034411442286073554,0.7321755977522071,0.89798811531159,0.3599615000232138,0.843608319576601,205,46,5,0.5374054193874758,COMPLETE
103,103,0.03410059676044331,2023-04-11 15:26:03.472417,2023-04-11 15:27:45.493853,0 days 00:01:42.021436,0.3834334549001721,0.9143814787900749,0.8097062113283192,0.43153584528805644,0.7372665511865946,212,41,4,0.45477961515883814,COMPLETE
104,104,0.07310315430520035,2023-04-11 15:27:45.494218,2023-04-11 15:29:28.780277,0 days 00:01:43.286059,0.14051965949197054,0.7637911643357532,0.8605771470678274,0.4456938903245592,0.8099269561776322,191,44,4,0.5753939415461784,COMPLETE
105,105,0.06337027564649049,2023-04-11 15:29:28.780644,2023-04-11 15:31:10.663047,0 days 00:01:41.882403,0.06615828232016577,0.781254109929114,0.9403870471003826,0.37982364904317045,0.9784167484529681,200,39,5,0.5169674493496941,COMPLETE
106,106,0.07331628303495312,2023-04-11 15:31:10.663552,2023-04-11 15:32:52.994720,0 days 00:01:42.331168,0.025402481351792038,0.8227643724128677,0.9183537891121063,0.340042988665588,0.8983919271952421,208,43,4,0.4926233244206821,COMPLETE
107,107,0.05861040068201193,2023-04-11 15:32:52.995069,2023-04-11 15:34:36.411452,0 days 00:01:43.416383,0.023794868218402883,0.8724048479044886,0.9088913452242011,0.5057645809369999,0.8951487591515581,208,48,4,0.48628699900615735,COMPLETE
108,108,0.08795112247797669,2023-04-11 15:34:36.411810,2023-04-11 15:36:19.487697,0 days 00:01:43.075887,0.11069308830338129,0.800534203081403,0.9713748521621683,0.4579953642399225,0.7759362719443187,195,43,3,0.44354194517494006,COMPLETE
109,109,0.06827223643080421,2023-04-11 15:36:19.488220,2023-04-11 15:38:02.602048,0 days 00:01:43.113828,0.1194325363374763,0.7972103783977088,0.9610475084270991,0.46459620975935356,0.7810356197623187,195,44,3,0.45304692817544323,COMPLETE
110,110,0.05363739698778062,2023-04-11 15:38:02.602411,2023-04-11 15:39:45.449829,0 days 00:01:42.847418,0.10524215947780752,0.822668560298191,0.9263244383211823,0.3247819781158244,0.7631019568256004,203,20,3,0.40375312230331106,COMPLETE
111,111,0.09249786871270248,2023-04-11 15:39:45.450197,2023-04-11 15:41:29.222468,0 days 00:01:43.772271,0.08050632606989618,0.898389683753138,0.9515731138895317,0.41405660659703347,0.8022916420036109,215,43,2,0.5142891478382636,COMPLETE
112,112,0.05825518613242398,2023-04-11 15:41:29.223032,2023-04-11 15:43:10.852666,0 days 00:01:41.629634,0.08122597917118562,0.9015157016712655,0.9811634984170596,0.4157808312496035,0.8055416241837295,197,42,1,0.4976733173288585,COMPLETE
113,113,0.053779482807615804,2023-04-11 15:43:10.853052,2023-04-11 15:44:53.710345,0 days 00:01:42.857293,0.04505216914193921,0.8523888158445633,0.9371350907027061,0.3864144055825054,0.8258682000593063,207,43,3,0.43003088756135266,COMPLETE
114,114,0.04887752202330207,2023-04-11 15:44:53.710771,2023-04-11 15:46:36.489288,0 days 00:01:42.778517,0.1668275417078462,0.877692955638277,0.9749159973328638,0.4873068018295303,0.8501007110266052,215,45,2,0.4674485628111307,COMPLETE
115,115,0.0878090366581415,2023-04-11 15:46:36.489825,2023-04-11 15:48:20.816968,0 days 00:01:44.327143,0.025578587998239772,0.9354086054847418,0.9526434557190758,0.403341780338638,0.7493627202606726,187,47,2,0.5129251364053401,COMPLETE
116,116,0.053779482807615804,2023-04-11 15:48:20.817352,2023-04-11 15:50:05.012578,0 days 00:01:44.195226,0.14290979482674002,0.9266290533422623,0.9935066323524668,0.40791319669116965,0.7393999309978051,187,47,2,0.5137869711233657,COMPLETE
117,117,0.08297811878374538,2023-04-11 15:50:05.012952,2023-04-11 15:51:48.390121,0 days 00:01:43.377169,0.08682792768729246,0.948908450829322,0.957169931328941,0.45820217085173875,0.7851937245901531,190,50,2,0.5521434756272429,COMPLETE
118,118,0.06827223643080421,2023-04-11 15:51:48.390743,2023-04-11 15:53:32.247574,0 days 00:01:43.856831,0.11671952371219128,0.9599561464004654,0.9588822177158093,0.5160299885534818,0.7017701556155552,185,50,2,0.5554238226910443,COMPLETE
119,119,0.09775504404660414,2023-04-11 15:53:32.247957,2023-04-11 15:55:15.144658,0 days 00:01:42.896701,0.08897546446686673,0.9092059143558465,0.8931076467328906,0.46676229289014176,0.7937077129226773,182,49,1,0.5811989691800821,COMPLETE
