,number,value,datetime_start,datetime_complete,duration,params_max_bpm,params_min_bpm,params_time_window,state
146,146,0.17036089798238138,2023-04-07 06:10:20.115996,2023-04-07 06:11:16.714033,0 days 00:00:56.598037,277,26,4,COMPLETE
147,147,0.20460358056265981,2023-04-07 06:11:16.714332,2023-04-07 06:12:13.395635,0 days 00:00:56.681303,288,25,4,COMPLETE
148,148,0.1852799090650753,2023-04-07 06:12:13.395946,2023-04-07 06:13:09.445970,0 days 00:00:56.050024,279,31,3,COMPLETE
149,149,0.1999147485080989,2023-04-07 06:13:09.446409,2023-04-07 06:14:02.254802,0 days 00:00:52.808393,283,28,4,COMPLETE
150,150,0.17547598749644788,2023-04-07 06:14:02.255124,2023-04-07 06:14:57.798318,0 days 00:00:55.543194,291,24,5,COMPLETE
151,151,0.22925547030406368,2023-04-07 06:14:57.798665,2023-04-07 06:15:53.574473,0 days 00:00:55.775808,280,27,4,COMPLETE
152,152,0.19977266268826374,2023-04-07 06:15:53.574811,2023-04-07 06:16:45.942364,0 days 00:00:52.367553,280,30,4,COMPLETE
153,153,0.19991474850809887,2023-04-07 06:16:45.942751,2023-04-07 06:17:42.621357,0 days 00:00:56.678606,284,27,4,COMPLETE
154,154,0.1852799090650753,2023-04-07 06:17:42.621666,2023-04-07 06:18:39.502833,0 days 00:00:56.881167,276,28,3,COMPLETE
155,155,0.2048167092924126,2023-04-07 06:18:39.503292,2023-04-07 06:19:36.146157,0 days 00:00:56.642865,282,25,5,COMPLETE
156,156,0.1560812730889457,2023-04-07 06:19:36.146473,2023-04-07 06:20:31.849017,0 days 00:00:55.702544,294,26,4,COMPLETE
157,157,0.20971867007672632,2023-04-07 06:20:31.849333,2023-04-07 06:21:22.290553,0 days 00:00:50.441220,278,23,8,COMPLETE
158,158,0.2093634555271384,2023-04-07 06:21:22.290872,2023-04-07 06:22:17.299448,0 days 00:00:55.008576,286,27,9,COMPLETE
159,159,0.20964762716680874,2023-04-07 06:22:17.299761,2023-04-07 06:23:14.166801,0 days 00:00:56.867040,280,24,4,COMPLETE
160,160,0.19025291275930664,2023-04-07 06:23:14.167109,2023-04-07 06:24:05.344143,0 days 00:00:51.177034,276,26,5,COMPLETE
161,161,0.2048167092924126,2023-04-07 06:24:05.344618,2023-04-07 06:25:02.136036,0 days 00:00:56.791418,272,23,4,COMPLETE
162,162,0.19977266268826374,2023-04-07 06:25:02.136340,2023-04-07 06:25:53.637118,0 days 00:00:51.500778,274,24,4,COMPLETE
163,163,0.22428246660983234,2023-04-07 06:25:53.637436,2023-04-07 06:26:46.725930,0 days 00:00:53.088494,282,25,10,COMPLETE
