,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_gamma,params_max_bpm,params_min_bpm,params_time_window,state
94,94,0.14649048025007105,2023-04-07 21:22:01.835550,2023-04-07 21:22:59.796981,0 days 00:00:57.961431,0.12499675672545928,0.9389016543874031,0.6775973206235715,279,43,2,COMPLETE
95,95,0.14130434782608695,2023-04-07 21:22:59.797306,2023-04-07 21:23:52.584108,0 days 00:00:52.786802,0.18094321649392445,0.5835489107746084,0.5697857060095409,284,19,5,COMPLETE
96,96,0.17519181585677748,2023-04-07 21:23:52.584419,2023-04-07 21:24:49.397313,0 days 00:00:56.812894,0.0007385368076140431,0.8853786142919969,0.7075093704105825,299,50,3,COMPLETE
97,97,0.18023586246092638,2023-04-07 21:24:49.397777,2023-04-07 21:25:42.331068,0 days 00:00:52.933291,0.3101922032128587,0.9745113491211919,0.6319692973737895,271,16,4,COMPLETE
98,98,0.1752628587666951,2023-04-07 21:25:42.331391,2023-04-07 21:26:39.183725,0 days 00:00:56.852334,0.33978787256361076,0.9792732716906666,0.6304627563914806,271,17,4,COMPLETE
99,99,0.16084114805342428,2023-04-07 21:26:39.184037,2023-04-07 21:27:35.234142,0 days 00:00:56.050105,0.29427136693802675,0.9987067855189089,0.7005441290191148,267,16,4,COMPLETE
100,100,0.08773799374822394,2023-04-07 21:27:35.234461,2023-04-07 21:28:31.501487,0 days 00:00:56.267026,0.057776055782560495,0.9627164818439083,0.665183319749068,288,15,5,COMPLETE
101,101,0.15608127308894573,2023-04-07 21:28:31.501812,2023-04-07 21:29:20.594260,0 days 00:00:49.092448,0.15377266035981518,0.9528433777565058,0.5976375654341555,276,36,9,COMPLETE
102,102,0.16084114805342428,2023-04-07 21:29:20.594623,2023-04-07 21:30:16.589692,0 days 00:00:55.995069,0.21689451594117984,0.837591982648665,0.6443482344002719,272,21,4,COMPLETE
103,103,0.1656010230179028,2023-04-07 21:30:16.590167,2023-04-07 21:31:13.669078,0 days 00:00:57.078911,0.2527988518993417,0.9167735619378351,0.5781301357423491,276,18,4,COMPLETE
104,104,0.06351236146632566,2023-04-07 21:31:13.669380,2023-04-07 21:32:06.548740,0 days 00:00:52.879360,0.32049255838074864,0.9773345801926825,0.5464067395693604,188,17,10,COMPLETE
105,105,0.18520886615515772,2023-04-07 21:32:06.549063,2023-04-07 21:33:03.004476,0 days 00:00:56.455413,0.363850603309582,0.8590983416029241,0.614939710085175,279,20,3,COMPLETE
106,106,0.1851378232452401,2023-04-07 21:33:03.004806,2023-04-07 21:34:00.101885,0 days 00:00:57.097079,0.30124343388505465,0.8578972729629942,0.6164511593210027,280,19,2,COMPLETE
107,107,0.17533390167661267,2023-04-07 21:34:00.102209,2023-04-07 21:34:57.128874,0 days 00:00:57.026665,0.36060354623132296,0.8485688887732674,0.7218768998310526,281,19,2,COMPLETE
108,108,0.0537794828076158,2023-04-07 21:34:57.129200,2023-04-07 21:35:48.647407,0 days 00:00:51.518207,0.27979449999351286,0.8704274515503508,0.6188804251348129,222,22,3,COMPLETE
109,109,0.17050298380221654,2023-04-07 21:35:48.647875,2023-04-07 21:36:46.001314,0 days 00:00:57.353439,0.09335178456011857,0.7644618650646064,0.6939707851944972,283,20,3,COMPLETE
110,110,0.09761295822676896,2023-04-07 21:36:46.001624,2023-04-07 21:37:41.075402,0 days 00:00:55.073778,0.3905497509359052,0.8846153579087547,0.6707193808179737,293,19,1,COMPLETE
111,111,0.16077010514350668,2023-04-07 21:37:41.075728,2023-04-07 21:38:37.976355,0 days 00:00:56.900627,0.30741133898064055,0.9303161703126184,0.6451526468100649,279,16,2,COMPLETE
112,112,0.17533390167661267,2023-04-07 21:38:37.976677,2023-04-07 21:39:30.968801,0 days 00:00:52.992124,0.29235946102464716,0.8931264692087663,0.6201149716051971,274,14,2,COMPLETE
113,113,0.16567206592782044,2023-04-07 21:39:30.969127,2023-04-07 21:40:27.882112,0 days 00:00:56.912985,0.3319695795111213,0.8136424658363194,0.596150627528171,270,18,3,COMPLETE
114,114,0.11210571184995738,2023-04-07 21:40:27.882424,2023-04-07 21:41:14.379747,0 days 00:00:46.497323,0.2617656646184357,0.954391717928217,0.7396306061708724,287,17,1,COMPLETE
115,115,0.17540494458653025,2023-04-07 21:41:14.380237,2023-04-07 21:42:11.087393,0 days 00:00:56.707156,0.23321475019936008,0.9107771385773107,0.6666186914468613,262,15,4,COMPLETE
116,116,0.1752628587666951,2023-04-07 21:42:11.087727,2023-04-07 21:43:08.389924,0 days 00:00:57.302197,0.3542678538476936,0.9827542907252361,0.5826838790521992,268,20,3,COMPLETE
117,117,0.14144643364592213,2023-04-07 21:43:08.390260,2023-04-07 21:44:04.858155,0 days 00:00:56.467895,0.3145856205046405,0.8601050200202757,0.7690733993800717,277,13,5,COMPLETE
118,118,0.17547598749644785,2023-04-07 21:44:04.858489,2023-04-07 21:45:02.337065,0 days 00:00:57.478576,0.11443366232368946,0.7782680680074845,0.5525504171599447,280,21,4,COMPLETE
119,119,0.17554703040636543,2023-04-07 21:45:02.337423,2023-04-07 21:45:59.108422,0 days 00:00:56.770999,0.14464563212881476,0.6700481671720009,0.6231005589179726,284,25,3,COMPLETE
